course_name,parent_platform,url,type,cost,cost_notes,language,hindi_available,primary_track,secondary_tracks,tier,est_hours,prerequisites,coverage_summary,quality_signal,last_verified_status
NPTEL Data Science for Engineers,NPTEL,https://nptel.ac.in/courses/106106179,Course/module,free-to-audit,Learning materials free; optional proctored certificate exam has a fee.,English,No,"6. Data science, analytics & statistics",,Apprentice,12 weeks,See course page,"Teaches NPTEL Data Science for Engineers through structured lessons or projects covering statistics, analysis, visualization and evidence-based work with data.",Official course page found and checked in September 2026,active; discovered and checked September 2026
NPTEL Cyber Security and Privacy,NPTEL,https://nptel.ac.in/courses/106106248,Course/module,free-to-audit,Learning materials free; optional proctored certificate exam has a fee.,English,No,10. Cybersecurity,,Adept,12 weeks,See course page,"Teaches NPTEL Cyber Security and Privacy through structured lessons or projects covering security principles, defensive practice, vulnerabilities and hands-on investigation.",Official course page found and checked in September 2026,active; discovered and checked September 2026
"NPTEL Programming, Data Structures and Algorithms Using Python",NPTEL,https://nptel.ac.in/courses/106106145,Course/module,free-to-audit,Learning materials free; optional proctored certificate exam has a fee.,English,No,8. Computer science core,,Apprentice,8 weeks,See course page,"Teaches NPTEL Programming, Data Structures and Algorithms Using Python through structured lessons or projects covering algorithms, data structures, architecture, operating systems and computer-science theory.",Official course page found and checked in September 2026,active; discovered and checked September 2026
NPTEL Information Security,NPTEL,https://archive.nptel.ac.in/courses/106/106/106106141/,Course/module,free-to-audit,Learning materials free; optional proctored certificate exam has a fee.,English,No,10. Cybersecurity,,Adept,12 weeks,See course page,"Teaches NPTEL Information Security through structured lessons or projects covering security principles, defensive practice, vulnerabilities and hands-on investigation.",Official course page found and checked in September 2026,active; discovered and checked September 2026
NPTEL Introduction to Machine Learning,NPTEL,https://nptel.ac.in/courses/106106139,Course/module,free-to-audit,Learning materials free; optional proctored certificate exam has a fee.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Adept,12 weeks,See course page,"Teaches NPTEL Introduction to Machine Learning through structured lessons or projects covering machine learning, deep learning, generative AI and responsible AI practice.",Official course page found and checked in September 2026,active; discovered and checked September 2026
NPTEL The Joy of Computing Using Python,NPTEL,https://nptel.ac.in/courses/106106182,Course/module,free-to-audit,Learning materials free; optional proctored certificate exam has a fee.,English,No,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,12 weeks,See course page,"Teaches NPTEL The Joy of Computing Using Python through structured lessons or projects covering programming syntax, problem solving and computational thinking.",Official course page found and checked in September 2026,active; discovered and checked September 2026
NPTEL Scientific Computing Using Python (Hindi),NPTEL/SWAYAM,https://onlinecourses.nptel.ac.in/noc25_ma52/preview,Course/module,free-to-audit,Learning materials free; optional proctored certificate exam has a fee.,Hindi,Yes,"13. Optional scientific computing (Julia, R)",,Apprentice,12 weeks,See course page,"Teaches NPTEL Scientific Computing Using Python (Hindi) through structured lessons or projects covering scientific programming, reproducible analysis and numerical/statistical computing.",Official course page found and checked in September 2026,active; discovered and checked September 2026
NPTEL Human Computer Interaction (Hindi),NPTEL,https://nptel.ac.in/courses/106106701,Course/module,free-to-audit,Learning materials free; optional proctored certificate exam has a fee.,Hindi,Yes,4. Web development,,Apprentice,12 weeks,See course page,"Teaches NPTEL Human Computer Interaction (Hindi) through structured lessons or projects covering HTML, CSS, JavaScript and practical web application development.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Applied Digital Skills: Google Workspace for Beginners,Google Applied Digital Skills,https://applieddigitalskills.withgoogle.com/c/en/beginners,Course/module,free,No fee for learning materials.,English,No,"2. Typing, productivity & office tools",,Newbie,10–20 h,See course page,"Teaches Applied Digital Skills: Google Workspace for Beginners through structured lessons or projects covering typing, documents, spreadsheets, presentations and workplace productivity.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Applied Digital Skills: Work from Anywhere,Google Applied Digital Skills,https://applieddigitalskills.withgoogle.com/c/en/remoteworking,Course/module,free,No fee for learning materials.,English,No,"2. Typing, productivity & office tools",,Newbie,8–15 h,See course page,"Teaches Applied Digital Skills: Work from Anywhere through structured lessons or projects covering typing, documents, spreadsheets, presentations and workplace productivity.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Applied Digital Skills: College Readiness,Google Applied Digital Skills,https://applieddigitalskills.withgoogle.com/c/en/collegereadiness,Course/module,free,No fee for learning materials.,English,No,14. Soft & career skills,,Newbie,10–20 h,See course page,"Teaches Applied Digital Skills: College Readiness through structured lessons or projects covering technical communication, portfolios, interviews and workplace effectiveness.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Applied Digital Skills: Learn at the Library,Google Applied Digital Skills,https://applieddigitalskills.withgoogle.com/c/en/library,Course/module,free,No fee for learning materials.,English,No,1. Digital literacy & computer basics,,Newbie,8–15 h,See course page,"Teaches Applied Digital Skills: Learn at the Library through structured lessons or projects covering computer operation, internet use, digital safety and everyday digital tasks.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Applied Digital Skills: Personal Projects,Google Applied Digital Skills,https://applieddigitalskills.withgoogle.com/c/en/personalprojects,Course/module,free,No fee for learning materials.,English,No,"2. Typing, productivity & office tools",,Newbie,8–15 h,See course page,"Teaches Applied Digital Skills: Personal Projects through structured lessons or projects covering typing, documents, spreadsheets, presentations and workplace productivity.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Applied Digital Skills: Online Safety and Digital Well-Being,Google Applied Digital Skills,https://applieddigitalskills.withgoogle.com/c/en/onlinesafety,Course/module,free,No fee for learning materials.,English,No,1. Digital literacy & computer basics,,Newbie,6–12 h,See course page,"Teaches Applied Digital Skills: Online Safety and Digital Well-Being through structured lessons or projects covering computer operation, internet use, digital safety and everyday digital tasks.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Google Cloud: Introduction to Generative AI,Google Cloud Skills Boost,https://www.cloudskillsboost.google/course_templates/536,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Newbie,1 h,See course page,"Teaches Google Cloud: Introduction to Generative AI through structured lessons or projects covering machine learning, deep learning, generative AI and responsible AI practice.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Google Cloud: Beginner Generative AI Path,Google Cloud Skills Boost,https://www.cloudskillsboost.google/paths/118,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Newbie; Apprentice,10–20 h,See course page,"Teaches Google Cloud: Beginner Generative AI Path through structured lessons or projects covering machine learning, deep learning, generative AI and responsible AI practice.",Official course page found and checked in September 2026,active; discovered and checked September 2026
"Google Cloud: Baseline Data, ML, AI",Google Cloud Skills Boost,https://www.cloudskillsboost.google/course_templates/619?locale=en,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Apprentice,10–20 h,See course page,"Teaches Google Cloud: Baseline Data, ML, AI through structured lessons or projects covering machine learning, deep learning, generative AI and responsible AI practice.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Google Cloud: Develop GenAI Apps with Gemini and Streamlit,Google Cloud Skills Boost,https://www.cloudskillsboost.google/paths/236/course_templates/978?locale=en,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Adept,3–6 h,See course page,"Teaches Google Cloud: Develop GenAI Apps with Gemini and Streamlit through structured lessons or projects covering machine learning, deep learning, generative AI and responsible AI practice.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Kaggle 5-Day Generative AI Intensive,Kaggle/Google,https://www.kaggle.com/learn-guide/5-day-genai,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Apprentice; Adept,25 h,See course page,"Teaches Kaggle 5-Day Generative AI Intensive through structured lessons or projects covering machine learning, deep learning, generative AI and responsible AI practice.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Kaggle 5-Day AI Agents Intensive,Kaggle/Google,https://www.kaggle.com/learn-guide/5-day-agents,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Adept,25 h,See course page,"Teaches Kaggle 5-Day AI Agents Intensive through structured lessons or projects covering machine learning, deep learning, generative AI and responsible AI practice.",Official course page found and checked in September 2026,active; discovered and checked September 2026
CS Primer: Computer Systems,CS Primer,https://csprimer.com/courses/systems/,Course/module,free,No fee for learning materials.,English,No,8. Computer science core,,Adept,20–40 h,See course page,"Teaches CS Primer: Computer Systems through structured lessons or projects covering algorithms, data structures, architecture, operating systems and computer-science theory.",Official course page found and checked in September 2026,active; discovered and checked September 2026
CS Primer: Algorithms and Data Structures,CS Primer,https://csprimer.com/courses/algorithms/,Course/module,free,No fee for learning materials.,English,No,8. Computer science core,,Apprentice; Adept,20–40 h,See course page,"Teaches CS Primer: Algorithms and Data Structures through structured lessons or projects covering algorithms, data structures, architecture, operating systems and computer-science theory.",Official course page found and checked in September 2026,active; discovered and checked September 2026
CS Primer: Computer Networks,CS Primer,https://csprimer.com/courses/networking/,Course/module,free,No fee for learning materials.,English,No,8. Computer science core,,Adept,20–40 h,See course page,"Teaches CS Primer: Computer Networks through structured lessons or projects covering algorithms, data structures, architecture, operating systems and computer-science theory.",Official course page found and checked in September 2026,active; discovered and checked September 2026
CS Primer: Databases,CS Primer,https://csprimer.com/courses/databases/,Course/module,free,No fee for learning materials.,English,No,"5. Data literacy, spreadsheets, SQL & databases",,Adept,20–40 h,See course page,"Teaches CS Primer: Databases through structured lessons or projects covering data organization, spreadsheet analysis, SQL and database concepts.",Official course page found and checked in September 2026,active; discovered and checked September 2026
CS Primer: Distributed Systems,CS Primer,https://csprimer.com/courses/distributed-systems/,Course/module,free,No fee for learning materials.,English,No,8. Computer science core,,Master,20–40 h,See course page,"Teaches CS Primer: Distributed Systems through structured lessons or projects covering algorithms, data structures, architecture, operating systems and computer-science theory.",Official course page found and checked in September 2026,active; discovered and checked September 2026
CS Primer: Operating Systems,CS Primer,https://csprimer.com/courses/operating-systems/,Course/module,free,No fee for learning materials.,English,No,8. Computer science core,,Adept,20–40 h,See course page,"Teaches CS Primer: Operating Systems through structured lessons or projects covering algorithms, data structures, architecture, operating systems and computer-science theory.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Codédex Python,Codédex,https://www.codedex.io/python,Course/module,freemium,Free lessons/units available; paid plan or credits may unlock additional content.,English,No,3. Computational thinking & programming fundamentals,,Newbie,10–20 h,See course page,"Teaches Codédex Python through structured lessons or projects covering programming syntax, problem solving and computational thinking.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Codédex HTML,Codédex,https://www.codedex.io/html,Course/module,freemium,Free lessons/units available; paid plan or credits may unlock additional content.,English,No,4. Web development,,Newbie,10–20 h,See course page,"Teaches Codédex HTML through structured lessons or projects covering HTML, CSS, JavaScript and practical web application development.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Codédex CSS,Codédex,https://www.codedex.io/css,Course/module,freemium,Free lessons/units available; paid plan or credits may unlock additional content.,English,No,4. Web development,,Newbie,10–20 h,See course page,"Teaches Codédex CSS through structured lessons or projects covering HTML, CSS, JavaScript and practical web application development.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Codédex JavaScript,Codédex,https://www.codedex.io/javascript,Course/module,freemium,Free lessons/units available; paid plan or credits may unlock additional content.,English,No,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,10–20 h,See course page,"Teaches Codédex JavaScript through structured lessons or projects covering programming syntax, problem solving and computational thinking.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Codédex C++,Codédex,https://www.codedex.io/cpp,Course/module,freemium,Free lessons/units available; paid plan or credits may unlock additional content.,English,No,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,10–20 h,See course page,"Teaches Codédex C++ through structured lessons or projects covering programming syntax, problem solving and computational thinking.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Codédex Git & GitHub,Codédex,https://www.codedex.io/git-github,Course/module,freemium,Free lessons/units available; paid plan or credits may unlock additional content.,English,No,"9. Git, Linux/CLI, DevOps & cloud",,Newbie,5–10 h,See course page,"Teaches Codédex Git & GitHub through structured lessons or projects covering version control, command-line work, deployment, cloud and infrastructure operations.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Codédex Data Structures & Algorithms,Codédex,https://www.codedex.io/data-structures-and-algorithms,Course/module,freemium,Free lessons/units available; paid plan or credits may unlock additional content.,English,No,8. Computer science core,,Apprentice,15–30 h,See course page,"Teaches Codédex Data Structures & Algorithms through structured lessons or projects covering algorithms, data structures, architecture, operating systems and computer-science theory.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Codédex React,Codédex,https://www.codedex.io/react,Course/module,freemium,Free lessons/units available; paid plan or credits may unlock additional content.,English,No,4. Web development,,Apprentice,15–30 h,See course page,"Teaches Codédex React through structured lessons or projects covering HTML, CSS, JavaScript and practical web application development.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Codédex Machine Learning,Codédex,https://www.codedex.io/machine-learning,Course/module,freemium,Free lessons/units available; paid plan or credits may unlock additional content.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Apprentice,15–30 h,See course page,"Teaches Codédex Machine Learning through structured lessons or projects covering machine learning, deep learning, generative AI and responsible AI practice.",Official course page found and checked in September 2026,active; discovered and checked September 2026
CS50 Introduction to Databases with SQL,Harvard CS50,https://cs50.harvard.edu/sql/,Course/module,free,No fee for learning materials.,English,No,"5. Data literacy, spreadsheets, SQL & databases",,Apprentice,50–80 h,See course page,"Teaches CS50 Introduction to Databases with SQL through structured lessons or projects covering data organization, spreadsheet analysis, SQL and database concepts.",Official course page found and checked in September 2026,active/reachable; fetched September 2026
Android Basics with Compose Unit 1: Kotlin basics,Android Developers,https://developer.android.com/courses/android-basics-compose/unit-1,Course/module,free,No fee for learning materials.,English,No,11. Mobile development,,Newbie,20 h,See course page,"Teaches Android Basics with Compose Unit 1: Kotlin basics through structured lessons or projects covering mobile application languages, user interfaces, architecture and deployment.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Android Basics with Compose Unit 2: Building app UI,Android Developers,https://developer.android.com/courses/android-basics-compose/unit-2,Course/module,free,No fee for learning materials.,English,No,11. Mobile development,,Apprentice,20 h,See course page,"Teaches Android Basics with Compose Unit 2: Building app UI through structured lessons or projects covering mobile application languages, user interfaces, architecture and deployment.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Android Basics with Compose Unit 3: Display lists and Material Design,Android Developers,https://developer.android.com/courses/android-basics-compose/unit-3,Course/module,free,No fee for learning materials.,English,No,11. Mobile development,,Apprentice,20 h,See course page,"Teaches Android Basics with Compose Unit 3: Display lists and Material Design through structured lessons or projects covering mobile application languages, user interfaces, architecture and deployment.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Android Basics with Compose Unit 4: Navigation and architecture,Android Developers,https://developer.android.com/courses/android-basics-compose/unit-4,Course/module,free,No fee for learning materials.,English,No,11. Mobile development,,Apprentice,20 h,See course page,"Teaches Android Basics with Compose Unit 4: Navigation and architecture through structured lessons or projects covering mobile application languages, user interfaces, architecture and deployment.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Android Basics with Compose Unit 5: Connect to the internet,Android Developers,https://developer.android.com/courses/android-basics-compose/unit-5,Course/module,free,No fee for learning materials.,English,No,11. Mobile development,,Apprentice,20 h,See course page,"Teaches Android Basics with Compose Unit 5: Connect to the internet through structured lessons or projects covering mobile application languages, user interfaces, architecture and deployment.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Android Basics with Compose Unit 6: Data persistence,Android Developers,https://developer.android.com/courses/android-basics-compose/unit-6,Course/module,free,No fee for learning materials.,English,No,11. Mobile development,,Adept,20 h,See course page,"Teaches Android Basics with Compose Unit 6: Data persistence through structured lessons or projects covering mobile application languages, user interfaces, architecture and deployment.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Android Basics with Compose Unit 7: WorkManager,Android Developers,https://developer.android.com/courses/android-basics-compose/unit-7,Course/module,free,No fee for learning materials.,English,No,11. Mobile development,,Adept,15 h,See course page,"Teaches Android Basics with Compose Unit 7: WorkManager through structured lessons or projects covering mobile application languages, user interfaces, architecture and deployment.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Android Basics with Compose Unit 8: Views and Compose,Android Developers,https://developer.android.com/courses/android-basics-compose/unit-8,Course/module,free,No fee for learning materials.,English,No,11. Mobile development,,Adept,15 h,See course page,"Teaches Android Basics with Compose Unit 8: Views and Compose through structured lessons or projects covering mobile application languages, user interfaces, architecture and deployment.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Jetpack Compose for Android Developers,Android Developers,https://developer.android.com/courses/jetpack-compose/course,Course/module,free,No fee for learning materials.,English,No,11. Mobile development,,Adept,40 h,See course page,"Teaches Jetpack Compose for Android Developers through structured lessons or projects covering mobile application languages, user interfaces, architecture and deployment.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Android Basics with Compose and Firebase,Android Developers,https://developer.android.com/courses/android-basics-compose-firebase/course,Course/module,free,No fee for learning materials.,English,No,11. Mobile development,,Apprentice; Adept,60 h,See course page,"Teaches Android Basics with Compose and Firebase through structured lessons or projects covering mobile application languages, user interfaces, architecture and deployment.",Official course page found and checked in September 2026,active; discovered and checked September 2026
TCS iON Career Edge — Young Professional,TCS iON,https://www.tcsion.com/courses/career-edge-young-professional/,Course/module,free,No fee for learning materials.,English,No,14. Soft & career skills,,Newbie; Apprentice,15 days,See course page,"Teaches TCS iON Career Edge — Young Professional through structured lessons or projects covering technical communication, portfolios, interviews and workplace effectiveness.",Official course page found and checked in September 2026,active; discovered and checked September 2026
TCS iON Career Edge — IT Primer,TCS iON,https://www.tcsion.com/courses/career-edge-it-course/,Course/module,free,No fee for learning materials.,English,No,1. Digital literacy & computer basics,,Newbie,15 h,See course page,"Teaches TCS iON Career Edge — IT Primer through structured lessons or projects covering computer operation, internet use, digital safety and everyday digital tasks.",Official course page found and checked in September 2026,active; discovered and checked September 2026
TCS iON Introduction to Soft Skills,TCS iON,https://www.tcsion.com/courses/interview-and-job-prep/introduction-to-soft-skills/,Course/module,free,No fee for learning materials.,English,No,14. Soft & career skills,,Newbie,5–10 h,See course page,"Teaches TCS iON Introduction to Soft Skills through structured lessons or projects covering technical communication, portfolios, interviews and workplace effectiveness.",Official course page found and checked in September 2026,active; discovered and checked September 2026
TCS iON Career Edge — Digital Teacher,TCS iON,https://www.tcsion.com/courses/career-edge-digital-teacher/,Course/module,free,No fee for learning materials.,English,No,14. Soft & career skills,,Newbie; Apprentice,15 h,See course page,"Teaches TCS iON Career Edge — Digital Teacher through structured lessons or projects covering technical communication, portfolios, interviews and workplace effectiveness.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Scaler Python for Beginners,Scaler Topics,https://www.scaler.com/topics/course/python-for-beginners/,Course/module,free,No fee for learning materials.,English,No,3. Computational thinking & programming fundamentals,,Newbie,10–20 h,See course page,"Teaches Scaler Python for Beginners through structured lessons or projects covering programming syntax, problem solving and computational thinking.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Scaler DSA for Beginners in Java,Scaler Topics,https://www.scaler.com/topics/course/dsa-beginners-java/,Course/module,free,No fee for learning materials.,English,No,8. Computer science core,,Apprentice,20–40 h,See course page,"Teaches Scaler DSA for Beginners in Java through structured lessons or projects covering algorithms, data structures, architecture, operating systems and computer-science theory.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Scaler DBMS,Scaler Topics,https://www.scaler.com/topics/course/dbms/,Course/module,free,No fee for learning materials.,English,No,"5. Data literacy, spreadsheets, SQL & databases",,Apprentice,10–20 h,See course page,"Teaches Scaler DBMS through structured lessons or projects covering data organization, spreadsheet analysis, SQL and database concepts.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Scaler Computer Networks,Scaler Topics,https://www.scaler.com/topics/course/free-computer-networks-course/,Course/module,free,No fee for learning materials.,English,No,8. Computer science core,,Apprentice,10–20 h,See course page,"Teaches Scaler Computer Networks through structured lessons or projects covering algorithms, data structures, architecture, operating systems and computer-science theory.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Scaler Data Structures in C++,Scaler Topics,https://www.scaler.com/topics/course/cpp-data-structures/,Course/module,free,No fee for learning materials.,English,No,8. Computer science core,,Apprentice,20–40 h,See course page,"Teaches Scaler Data Structures in C++ through structured lessons or projects covering algorithms, data structures, architecture, operating systems and computer-science theory.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Great Learning Prompt Engineering for ChatGPT,Great Learning Academy,https://www.mygreatlearning.com/academy/learn-for-free/courses/prompt-engineering-for-chatgpt,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Newbie,2 h,See course page,"Teaches Great Learning Prompt Engineering for ChatGPT through structured lessons or projects covering machine learning, deep learning, generative AI and responsible AI practice.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Great Learning Generative AI for Beginners,Great Learning Academy,https://www.mygreatlearning.com/academy/learn-for-free/courses/generative-ai-for-beginners,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Newbie,3 h,See course page,"Teaches Great Learning Generative AI for Beginners through structured lessons or projects covering machine learning, deep learning, generative AI and responsible AI practice.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Great Learning Python Fundamentals for Beginners,Great Learning Academy,https://www.mygreatlearning.com/academy/learn-for-free/courses/python-fundamentals-for-beginners,Course/module,free,No fee for learning materials.,English,No,3. Computational thinking & programming fundamentals,,Newbie,4 h,See course page,"Teaches Great Learning Python Fundamentals for Beginners through structured lessons or projects covering programming syntax, problem solving and computational thinking.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Great Learning Introduction to Web Development,Great Learning Academy,https://www.mygreatlearning.com/academy/learn-for-free/courses/introduction-to-web-development,Course/module,free,No fee for learning materials.,English,No,4. Web development,,Newbie,3 h,See course page,"Teaches Great Learning Introduction to Web Development through structured lessons or projects covering HTML, CSS, JavaScript and practical web application development.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Great Learning Become a Full Stack Developer,Great Learning Academy,https://www.mygreatlearning.com/academy/learn-for-free/courses/become-full-stack-developer,Course/module,free,No fee for learning materials.,English,No,4. Web development,,Apprentice,10 h,See course page,"Teaches Great Learning Become a Full Stack Developer through structured lessons or projects covering HTML, CSS, JavaScript and practical web application development.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Simplilearn Full Stack Development SkillUp,Simplilearn SkillUp,https://www.simplilearn.com/free-full-stack-developer-course-skillup,Course/module,free,No fee for learning materials.,English,No,4. Web development,,Apprentice,10 h,See course page,"Teaches Simplilearn Full Stack Development SkillUp through structured lessons or projects covering HTML, CSS, JavaScript and practical web application development.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Simplilearn Machine Learning Basics,Simplilearn SkillUp,https://www.simplilearn.com/learn-machine-learning-basics-skillup,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Newbie; Apprentice,10 h,See course page,"Teaches Simplilearn Machine Learning Basics through structured lessons or projects covering machine learning, deep learning, generative AI and responsible AI practice.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Simplilearn Artificial Intelligence,Simplilearn SkillUp,https://www.simplilearn.com/free-ai-program-skillup,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Newbie,8 h,See course page,"Teaches Simplilearn Artificial Intelligence through structured lessons or projects covering machine learning, deep learning, generative AI and responsible AI practice.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Simplilearn Data Analytics for Beginners,Simplilearn SkillUp,https://www.simplilearn.com/learn-data-analytics-for-beginners-skillup,Course/module,free,No fee for learning materials.,English,No,"6. Data science, analytics & statistics",,Newbie,10 h,See course page,"Teaches Simplilearn Data Analytics for Beginners through structured lessons or projects covering statistics, analysis, visualization and evidence-based work with data.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Simplilearn n8n No-Code AI Agent Builder,Simplilearn SkillUp,https://www.simplilearn.com/free-n8n-no-code-ai-agent-builder-course-skillup,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Apprentice,5 h,See course page,"Teaches Simplilearn n8n No-Code AI Agent Builder through structured lessons or projects covering machine learning, deep learning, generative AI and responsible AI practice.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Simplilearn Google Cloud Platform Fundamentals,Simplilearn SkillUp,https://www.simplilearn.com/learn-google-cloud-platform-fundamentals-free-course-skillup,Course/module,free,No fee for learning materials.,English,No,"9. Git, Linux/CLI, DevOps & cloud",,Newbie,8 h,See course page,"Teaches Simplilearn Google Cloud Platform Fundamentals through structured lessons or projects covering version control, command-line work, deployment, cloud and infrastructure operations.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Simplilearn Generative AI,Simplilearn SkillUp,https://www.simplilearn.com/free-generative-ai-course-skillup,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Newbie,8 h,See course page,"Teaches Simplilearn Generative AI through structured lessons or projects covering machine learning, deep learning, generative AI and responsible AI practice.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Simplilearn Tech Career Foundation Skills,Simplilearn SkillUp,https://www.simplilearn.com/free-tech-career-foundation-skills-course-skillup,Course/module,free,No fee for learning materials.,English,No,14. Soft & career skills,,Newbie,8 h,See course page,"Teaches Simplilearn Tech Career Foundation Skills through structured lessons or projects covering technical communication, portfolios, interviews and workplace effectiveness.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Cognitive Class Fundamentals of AI,IBM Cognitive Class,https://cognitiveclass.ai/learn/fundamentals-of-ai,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Newbie; Apprentice,10–20 h,See course page,"Teaches Cognitive Class Fundamentals of AI through structured lessons or projects covering machine learning, deep learning, generative AI and responsible AI practice.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Cognitive Class Deep Learning Path,IBM Cognitive Class,https://cognitiveclass.ai/learn/deep-learning,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Adept,30–50 h,See course page,"Teaches Cognitive Class Deep Learning Path through structured lessons or projects covering machine learning, deep learning, generative AI and responsible AI practice.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Cognitive Class Statistics 101,IBM Cognitive Class,https://cognitiveclass.ai/courses/statistics-101,Course/module,free,No fee for learning materials.,English,No,"6. Data science, analytics & statistics",,Newbie; Apprentice,10 h,See course page,"Teaches Cognitive Class Statistics 101 through structured lessons or projects covering statistics, analysis, visualization and evidence-based work with data.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Cognitive Class Build Your Own Chatbot,IBM Cognitive Class,https://cognitiveclass.ai/courses/chatbot-course/,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Apprentice,4 h,See course page,"Teaches Cognitive Class Build Your Own Chatbot through structured lessons or projects covering machine learning, deep learning, generative AI and responsible AI practice.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Cognitive Class Big Data Path,IBM Cognitive Class,https://cognitiveclass.ai/learn/big-data-ibm,Course/module,free,No fee for learning materials.,English,No,"6. Data science, analytics & statistics",,Apprentice,30 h,See course page,"Teaches Cognitive Class Big Data Path through structured lessons or projects covering statistics, analysis, visualization and evidence-based work with data.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Cognitive Class LangGraph Adaptive Game,IBM Cognitive Class,https://cognitiveclass.ai/courses/create-an-adaptive-pick-your-path-game-with-langgraph,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Adept,3 h,See course page,"Teaches Cognitive Class LangGraph Adaptive Game through structured lessons or projects covering machine learning, deep learning, generative AI and responsible AI practice.",Official course page found and checked in September 2026,active; discovered and checked September 2026
